Date,Open,High,Low,Close,Adj Close,Volume
24/3/15,1117.449951,1126.699951,1103,1105.719971,1008.897095,3368266
25/3/15,1111.449951,1114.569946,1100.380005,1109.550049,1012.391724,3085484
26/3/15,1104,1107.449951,1066,1073.180054,979.206482,7870420
27/3/15,1082,1112.349976,1081.5,1101.069946,1004.654175,5037110
30/3/15,1102.800049,1120,1097.449951,1114,1016.452026,2311544
31/3/15,1122.5,1136.819946,1102.180054,1109.180054,1012.054138,4008206
1/4/15,1099.449951,1099.75,1078.849976,1086.969971,991.788879,3369244
6/4/15,1086.969971,1092.349976,1080.199951,1089.099976,993.732361,3870876
7/4/15,1087.5,1091.400024,1069,1079.75,985.201111,4271134
8/4/15,1091.25,1102.449951,1086.530029,1100.280029,1003.933472,5092788
9/4/15,1105.699951,1109.449951,1092.199951,1107.5,1010.521118,5290774
10/4/15,1105.099976,1119,1105.099976,1116.969971,1019.161865,3561888
13/4/15,1119,1122,1108.050049,1119.400024,1021.379211,2436168
15/4/15,1119.400024,1122.5,1097.530029,1106.849976,1009.928162,3118892
16/4/15,1111,1115.5,1080.25,1097.319946,1001.232422,4503906
17/4/15,1090.030029,1097.469971,1076.719971,1089.619995,994.206909,3225158
20/4/15,1088,1090,1057.569946,1066.069946,972.718933,6412692
21/4/15,1074,1077.550049,1060.050049,1071.300049,977.491089,4440824
22/4/15,1075.530029,1077.5,1048.969971,1068.849976,975.255615,6175492
23/4/15,1074.349976,1075,1056,1061,968.093018,5945900
24/4/15,1067.949951,1075.099976,990,997.599976,910.244629,21782726
27/4/15,1000,1001,974.049988,992.325012,905.43158,9911320
28/4/15,991,991,976,980.450012,894.596497,5196750
29/4/15,980.450012,986,968.974976,980.575012,894.710449,4144528
30/4/15,980,982.5,966.150024,971.125,886.087952,6567130
4/5/15,971.125,1000,971.125,996.549988,909.286621,6680796
5/5/15,1000,1001.849976,976.025024,981.375,895.440369,4704258
6/5/15,987.5,987.5,957.650024,961.025024,876.872314,5254204
7/5/15,961,983.549988,955,972,886.886353,3389992
8/5/15,979,983.775024,972.625,978.974976,893.250488,2888838
11/5/15,982.5,1000,976.099976,996.825012,909.537537,2392756
12/5/15,996.825012,997.299988,971,973.549988,888.300537,4142446
13/5/15,975.875,982.450012,964.25,978.349976,892.680237,3549542
14/5/15,980,980.400024,954,967.400024,882.689148,3116922
15/5/15,967.5,983.299988,966.150024,980.875,894.984192,2594672
18/5/15,985,999.450012,980.799988,996.525024,909.263794,3234988
19/5/15,993.650024,1017.849976,993,1011.169983,922.626343,5136038
20/5/15,1020,1026,1016.799988,1023.650024,934.01355,2941094
21/5/15,1024.449951,1030.949951,1018.619995,1024.219971,934.53363,5029656
22/5/15,1022,1025.780029,1015.049988,1023.219971,933.621155,3444412
25/5/15,1025.25,1028.280029,1003.530029,1008.400024,920.098999,2337904
26/5/15,1010,1015.719971,1001.080017,1003.650024,915.764832,1982520
27/5/15,1003.5,1004.5,977.5,984.25,898.063599,4227354
28/5/15,987.599976,1016,987.599976,1008.299988,920.007751,5490270
29/5/15,1002.419983,1028.219971,1000.5,1011.580017,923.000488,9496522
1/6/15,1016.400024,1032,1011.619995,1023.900024,934.241699,2862446
2/6/15,1024.050049,1027.550049,1002.5,1004.330017,916.385315,2336570
3/6/15,1009.099976,1019.719971,1004,1010.450012,921.969482,2747898
4/6/15,1015,1027.5,1006.299988,1014.030029,925.235962,3744732
5/6/15,1015,1022,1004.080017,1005.830017,917.753967,3062894
8/6/15,1010,1012.330017,993.5,1000.030029,912.461914,3070524
9/6/15,1001.880005,1003.830017,991.5,996.049988,908.830383,3780870
10/6/15,995,1019.669983,992.5,1013.25,924.524231,3192920
11/6/15,1017.969971,1022.380005,997.525024,998.825012,911.362366,4614732
12/6/15,1002.5,1012.780029,977.75,987.525024,928.47406,4926462
15/6/15,976.950012,998.799988,968,990.450012,945.344177,2618213
16/6/15,994.349976,1003,985,999.349976,953.838806,2611722
17/6/15,1011,1021,992.200012,995.700012,950.355042,3206034
18/6/15,1005.599976,1007.950012,995.799988,1001.950012,956.320374,1737213
19/6/15,1010.299988,1010.400024,993.099976,995.349976,950.020935,3335229
22/6/15,1004.900024,1028.75,997,1023.849976,977.223022,2855434
23/6/15,1025,1027.400024,998.150024,1000.400024,954.841003,3476058
24/6/15,1015,1015,991.200012,995.099976,949.782349,3536847
25/6/15,999.200012,1003.5,987.650024,990.450012,945.344177,3558733
26/6/15,999,1011.599976,998.099976,1005.25,959.470032,2660142
29/6/15,987,999.5,982.5,990.150024,945.057861,2845334
30/6/15,990,993.450012,980,984.349976,939.521851,3106265
