Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Adj Close
2010-01-21,RELIANCE,EQ,1077.5,1075.0,1077.0,1050.25,1053.0,1054.05,1062.58,4254235,4.5204724014e+14,,2315611.0,0.5443,451.731354
2010-01-22,RELIANCE,EQ,1054.05,1041.0,1071.0,1029.5,1051.7,1053.85,1053.09,9113512,9.59735785285e+14,,3938847.0,0.4322,451.645569
2010-01-25,RELIANCE,EQ,1053.85,1049.65,1054.4,1036.7,1041.35,1042.05,1045.5,3061478,3.2007818667e+14,,1625799.0,0.5311,446.588531
2010-01-27,RELIANCE,EQ,1042.05,1034.0,1050.0,1020.0,1026.0,1027.55,1032.66,5678803,5.8642581655e+14,,2746015.0,0.4836,440.374298
2010-01-28,RELIANCE,EQ,1027.55,1040.0,1046.45,1025.0,1038.35,1037.15,1037.35,7594324,7.877958215e+14,,4237505.0,0.558,444.488495
2010-01-29,RELIANCE,EQ,1037.15,1032.9,1051.8,1018.1,1048.0,1046.2,1035.23,5333541,5.5214638184e+14,,2154123.0,0.4039,448.367096
2010-02-01,RELIANCE,EQ,1046.2,1037.5,1055.0,1035.55,1046.0,1045.4,1046.54,2773369,2.9024382092e+14,,1095182.0,0.3949,448.0242
2010-02-02,RELIANCE,EQ,1045.4,1052.0,1056.35,1024.1,1027.0,1027.3,1037.43,3942831,4.0904061904e+14,,1795002.0,0.4553,440.267151
2010-02-03,RELIANCE,EQ,1027.3,1031.1,1048.4,1031.1,1033.0,1033.95,1039.18,3440695,3.57549532655e+14,,1578729.0,0.4588,443.117126
2010-02-04,RELIANCE,EQ,1033.95,1038.0,1038.0,1014.0,1020.0,1019.15,1027.44,2737193,2.8122947184e+14,,927033.0,0.3387,436.774292
2010-02-05,RELIANCE,EQ,1019.15,975.0,1007.75,975.0,981.55,981.7,990.64,6830723,6.76680819535e+14,,3359846.0,0.4919,420.724457
2010-02-08,RELIANCE,EQ,993.75,985.0,1004.35,975.0,990.7,994.35,987.98,5919146,5.84800175155e+14,,2684910.0,0.4536,426.145874
2010-02-09,RELIANCE,EQ,994.35,993.75,998.0,982.7,992.25,993.25,991.87,3266918,3.24034341485e+14,,1319304.0,0.4038,425.674438
2010-02-10,RELIANCE,EQ,993.25,999.9,999.9,982.0,983.0,985.1,989.41,4174214,4.13000566335e+14,,2084065.0,0.4993,422.181641
